timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,tcp_flags,inter_arrival_time,pps,port_diversity,flow_duration
1765549965.0507836,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1230602264404297,1.0,1,4.526232719421387
1765549965.1501253,192.168.0.5,224.0.0.251,5353,5353,17,508,,0.21227264404296875,2.2,3,2.973581552505493
1765549965.1564076,20.215.74.200,192.168.0.3,443,60797,6,4071,PA,0.10895323753356934,2.0,1,4.5197813510894775
1765549965.1564076,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.10895323753356934,3.8,2,4.81518292427063
1765549965.158447,20.215.74.200,192.168.0.3,443,60797,6,5410,PA,0.0020394325256347656,2.2,1,4.521820783615112
1765549965.158447,20.215.74.200,192.168.0.3,443,60797,6,399,PA,0.0,2.4,1,4.521820783615112
1765549965.1594644,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.003056764602661133,4.0,2,4.818239688873291
1765549965.1594644,192.168.0.3,20.215.74.200,60797,443,6,461,PA,0.0,4.2,2,4.818239688873291
1765549965.2652464,20.215.74.200,192.168.0.3,443,60797,6,88,PA,0.10679936408996582,2.6,1,4.628620147705078
1765549965.3063319,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.1468675136566162,4.4,2,4.965107202529907
1765549965.3555818,192.168.0.3,20.215.74.200,60797,443,6,647,PA,0.049249887466430664,4.4,2,4.842482328414917
1765549965.4314756,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.07589387893676758,4.6,2,4.918376207351685
1765549965.4525783,20.215.74.200,192.168.0.3,443,60797,6,88,PA,0.1873319149017334,2.8,1,4.8159520626068115
1765549965.4981472,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.06667160987854004,4.8,2,4.985047817230225
1765549965.6568248,20.215.74.200,192.168.0.3,443,60797,6,458,PA,0.20424652099609375,2.8,1,4.909200429916382
1765549965.6587884,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2303974628448486,1.0,1,4.923655033111572
1765549965.7059333,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.20778608322143555,4.6,2,4.911743879318237
1765549966.0522301,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.3462967872619629,4.6,2,4.654620885848999
1765549966.16815,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1173663139343262,1.0,1,4.498836994171143
1765549966.1823938,192.168.0.5,224.0.0.251,5353,5353,17,508,,1.0322685241699219,2.4,3,4.005850076675415
